asm:asm	3.1	compile
asm:asm	3.3.1	compile
com.101tec:zkclient	0.3	compile
com.adobe.xmp:xmpcore	5.1.2	compile
com.beust:jcommander	1.48	compile
com.clearspring.analytics:stream	2.9.2	compile
com.drewnoakes:metadata-extractor	2.8.1	compile
com.esotericsoftware.kryo:kryo	2.21	compile
com.esotericsoftware.minlog:minlog	1.2	compile
com.esotericsoftware.reflectasm:reflectasm	shaded:1.07	compile
com.github.stephenc.findbugs:findbugs-annotations	1.3.9-1	compile
com.googlecode.efficient-java-matrix-library:core	0.26	compile
com.google.code.gson:gson	2.3.1	compile
com.googlecode.json-simple:json-simple	1.1	compile
com.googlecode.juniversalchardet:juniversalchardet	1.0.3	compile
com.google.guava:guava	12.0	compile
com.google.guava:guava	14.0.1	compile
com.google.guava:guava	17.0	compile
com.google.guava:guava	18.0	compile
com.google.protobuf:protobuf-java	2.5.0	compile
com.jayway.jsonpath:json-path	2.0.0	compile
commons-beanutils:commons-beanutils	1.7.0	compile
commons-beanutils:commons-beanutils-core	1.8.0	compile
commons-cli:commons-cli	1.2	compile
commons-codec:commons-codec	1.9	compile
commons-collections:commons-collections	3.1	compile
commons-configuration:commons-configuration	1.6	compile
commons-digester:commons-digester	1.8	compile
commons-io:commons-io	2.1	compile
commons-lang:commons-lang	2.6	compile
commons-logging:commons-logging	1.1.1	compile
commons-logging:commons-logging	1.2	compile
commons-net:commons-net	3.3	compile
commons-pool:commons-pool	1.6	compile
com.spatial4j:spatial4j	0.4.1	compile
com.sun.xml.bind:jaxb-core	2.2.11	compile
com.sun.xml.bind:jaxb-impl	2.2.11	compile
com.thoughtworks.paranamer:paranamer	2.6	compile
com.typesafe:config	1.2.1	compile
com.typesafe.scala-logging:scala-logging_2.11	3.1.0	compile
com.vividsolutions:jts	1.13	compile
com.yammer.metrics:metrics-core	2.2.0	compile
eu.medsea.mimeutil:mime-util	2.1.3	compile
io.dropwizard.metrics:metrics-core	3.1.2	compile
io.dropwizard.metrics:metrics-ganglia	3.1.2	compile
io.dropwizard.metrics:metrics-graphite	3.1.2	compile
io.netty:netty-all	4.0.23.Final	compile
it.geosolutions.jaiext.affine:jt-affine	1.0.8	compile
it.geosolutions.jaiext.algebra:jt-algebra	1.0.8	compile
it.geosolutions.jaiext.bandcombine:jt-bandcombine	1.0.8	compile
it.geosolutions.jaiext.bandmerge:jt-bandmerge	1.0.8	compile
it.geosolutions.jaiext.bandselect:jt-bandselect	1.0.8	compile
it.geosolutions.jaiext.binarize:jt-binarize	1.0.8	compile
it.geosolutions.jaiext.border:jt-border	1.0.8	compile
it.geosolutions.jaiext.buffer:jt-buffer	1.0.8	compile
it.geosolutions.jaiext.classifier:jt-classifier	1.0.8	compile
it.geosolutions.jaiext.colorconvert:jt-colorconvert	1.0.8	compile
it.geosolutions.jaiext.colorindexer:jt-colorindexer	1.0.8	compile
it.geosolutions.jaiext.crop:jt-crop	1.0.8	compile
it.geosolutions.jaiext.errordiffusion:jt-errordiffusion	1.0.8	compile
it.geosolutions.jaiext.format:jt-format	1.0.8	compile
it.geosolutions.jaiext.imagefunction:jt-imagefunction	1.0.8	compile
it.geosolutions.jaiext.iterators:jt-iterators	1.0.8	compile
it.geosolutions.jaiext.lookup:jt-lookup	1.0.8	compile
it.geosolutions.jaiext.mosaic:jt-mosaic	1.0.8	compile
it.geosolutions.jaiext.nullop:jt-nullop	1.0.8	compile
it.geosolutions.jaiext.orderdither:jt-orderdither	1.0.8	compile
it.geosolutions.jaiext.piecewise:jt-piecewise	1.0.8	compile
it.geosolutions.jaiext.rescale:jt-rescale	1.0.8	compile
it.geosolutions.jaiext.rlookup:jt-rlookup	1.0.8	compile
it.geosolutions.jaiext.scale:jt-scale	1.0.8	compile
it.geosolutions.jaiext.stats:jt-stats	1.0.8	compile
it.geosolutions.jaiext.translate:jt-translate	1.0.8	compile
it.geosolutions.jaiext.utilities:jt-utilities	1.0.8	compile
it.geosolutions.jaiext.vectorbin:jt-vectorbin	1.0.8	compile
it.geosolutions.jaiext.warp:jt-warp	1.0.8	compile
it.geosolutions.jaiext.zonal:jt-zonal	1.0.8	compile
it.unimi.dsi:fastutil	7.0.6	compile
joda-time:joda-time	2.3	compile
log4j:log4j	1.2.17	compile
net.iharder:base64	2.3.8	compile
net.java.dev.jsr-275:jsr-275	1.0-beta-2	compile
net.jpountz.lz4:lz4	1.2.0	compile
net.minidev:asm	1.0.2	compile
net.minidev:json-smart	2.1.1	compile
net.sf.geographiclib:GeographicLib-Java	1.44	compile
net.sf.jopt-simple:jopt-simple	3.2	compile
org.apache.accumulo:accumulo-core	1.6.2	compile
org.apache.accumulo:accumulo-fate	1.6.2	compile
org.apache.accumulo:accumulo-start	1.6.2	compile
org.apache.accumulo:accumulo-trace	1.6.2	compile
org.apache.avro:avro	1.7.5	compile
org.apache.camel:camel-core	2.15.1	compile
org.apache.camel:camel-scala	2.15.1	compile
org.apache.commons:commons-compress	1.4.1	compile
org.apache.commons:commons-csv	1.0	compile
org.apache.commons:commons-lang3	3.3.2	compile
org.apache.commons:commons-math	2.1	compile
org.apache.commons:commons-pool2	2.2	compile
org.apache.commons:commons-vfs2	2.0	compile
org.apache.curator:curator-client	2.4.0	compile
org.apache.curator:curator-client	2.7.1	compile
org.apache.curator:curator-framework	2.4.0	compile
org.apache.curator:curator-framework	2.7.1	compile
org.apache.curator:curator-recipes	2.4.0	compile
org.apache.curator:curator-recipes	2.7.1	compile
org.apache.hbase:hbase-annotations	1.0.0	compile
org.apache.hbase:hbase-client	1.0.0	compile
org.apache.hbase:hbase-common	1.0.0	compile
org.apache.hbase:hbase-protocol	1.0.0	compile
org.apache.htrace:htrace-core	3.1.0-incubating	compile
org.apache.kafka:kafka_2.11	0.8.2.1	compile
org.apache.kafka:kafka-clients	0.8.2.1	compile
org.apache.metamodel:MetaModel-core	4.3.6	compile
org.apache.metamodel:MetaModel-pojo	4.3.6	compile
org.apache.thrift:libthrift	0.9.1	compile
org.apache.xml:xml-commons-resolver	1.2	compile
org.apache.zookeeper:zookeeper	3.4.5	compile
org.calrissian.mango:mango-core	1.2.0	compile
org.clapper:grizzled-slf4j_2.11	1.0.2	compile
org.codehaus.jackson:jackson-core-asl	1.9.3	compile
org.codehaus.jackson:jackson-mapper-asl	1.9.3	compile
org.eclipse.emf:common	2.6.0	compile
org.eclipse.emf:ecore	2.6.1	compile
org.eclipse.xsd:xsd	2.6.0	compile
org.gdal:gdal	2.0.0	compile
org.geotools:gt-api	14.1	compile
org.geotools:gt-coverage	14.1	compile
org.geotools:gt-cql	14.1	compile
org.geotools:gt-data	14.1	compile
org.geotools:gt-epsg-hsql	14.1	compile
org.geotools:gt-geojson	14.1	compile
org.geotools:gt-geotiff	14.1	compile
org.geotools:gt-graph	14.1	compile
org.geotools:gt-grid	14.1	compile
org.geotools:gt-imageio-ext-gdal	14.1	compile
org.geotools:gt-main	14.1	compile
org.geotools:gt-metadata	14.1	compile
org.geotools:gt-opengis	14.1	compile
org.geotools:gt-process	14.1	compile
org.geotools:gt-process-feature	14.1	compile
org.geotools:gt-referencing	14.1	compile
org.geotools:gt-render	14.1	compile
org.geotools:gt-shapefile	14.1	compile
org.geotools:gt-transform	14.1	compile
org.geotools:gt-xml	14.1	compile
org.geotools.ogc:net.opengis.fes	14.1	compile
org.geotools.ogc:net.opengis.ows	14.1	compile
org.geotools.ogc:net.opengis.wfs	14.1	compile
org.geotools.ogc:org.w3.xlink	14.1	compile
org.geotools.xsd:gt-xsd-core	14.1	compile
org.geotools.xsd:gt-xsd-fes	14.1	compile
org.geotools.xsd:gt-xsd-filter	14.1	compile
org.geotools.xsd:gt-xsd-gml2	14.1	compile
org.geotools.xsd:gt-xsd-gml3	14.1	compile
org.geotools.xsd:gt-xsd-ows	14.1	compile
org.geotools.xsd:gt-xsd-wfs	14.1	compile
org.hsqldb:hsqldb	2.3.0	compile
org.jdom:jdom	1.1.3	compile
org.joda:joda-convert	1.6	compile
org.jruby.jcodings:jcodings	1.0.8	compile
org.jruby.joni:joni	2.1.2	compile
org.json4s:json4s-ast_2.11	3.2.10	compile
org.json4s:json4s-core_2.11	3.2.10	compile
org.json4s:json4s-native_2.11	3.2.10	compile
org.locationtech.sfcurve:sfcurve-api_2.11	0.1.3	compile
org.locationtech.sfcurve:sfcurve-zorder_2.11	0.1.3	compile
org.mortbay.jetty:jetty-util	6.1.26	compile
org.objenesis:objenesis	1.0	compile
org.ow2.asm:asm	4.0	compile
org.scala-lang.modules:scala-parser-combinators_2.11	1.0.4	compile
org.scala-lang.modules:scala-xml_2.11	1.0.5	compile
org.scala-lang:scala-compiler	2.11.7	compile
org.scala-lang:scala-library	2.11.7	compile
org.scala-lang:scalap	2.11.7	compile
org.scala-lang:scala-reflect	2.11.7	compile
org.scalatra.rl:rl_2.11	0.4.10	compile
org.scalatra:scalatra_2.11	2.3.0	compile
org.scalatra:scalatra-auth_2.11	2.3.0	compile
org.scalatra:scalatra-common_2.11	2.3.0	compile
org.scalatra:scalatra-json_2.11	2.3.0	compile
org.slf4j:slf4j-api	1.7.5	compile
org.slf4j:slf4j-log4j12	1.7.5	compile
org.tukaani:xz	1.0	compile
picocontainer:picocontainer	1.2	compile
xml-apis:xml-apis	1.4.01	compile

com.datastax.cassandra:cassandra-driver-core	3.0.0	provided
com.datastax.cassandra:cassandra-driver-mapping	3.0.0	provided
javax.media:jai_codec	1.1.3	provided
javax.media:jai_core	1.1.3	provided
org.apache.hadoop:hadoop-client	2.5.2	provided
org.apache.hadoop:hadoop-common	2.5.2	provided
org.apache.kafka:kafka_2.11	0.9.0.1	provided
org.apache.spark:spark-catalyst_2.11	1.5.0	provided
org.apache.spark:spark-core_2.11	1.5.0	provided
org.apache.spark:spark-sql_2.11	1.5.0	provided
org.apache.spark:spark-yarn_2.11	1.5.0	provided
org.springframework.security:spring-security-core	3.1.0.RELEASE	provided
org.springframework.security:spring-security-web	3.1.0.RELEASE	provided
org.springframework:spring-web	3.1.4.RELEASE	provided

java3d:vecmath	1.3.2	test
junit:junit	4.12	test
org.apache.accumulo:accumulo-test	1.6.2	test
org.apache.camel:camel-netty4	2.15.1	test
org.apache.cassandra:cassandra-all	3.0.0	test
org.apache.curator:curator-test	2.7.1	test
org.apache.kafka:kafka_2.11	test:0.8.2.1	test
org.apache.kafka:kafka_2.11	test:0.9.0.1	test
org.cassandraunit:cassandra-unit	2.2.2.1	test
org.codehaus.groovy:groovy-jsr223	2.4.5	test
org.geotools:gt-geometry	14.1	test
org.jruby:jruby	9.0.4.0	test
org.mortbay.jetty:jetty	6.1.26	test
org.specs2:specs2_2.11	2.3.13	test
